Time,Resource A,Resource B
1718106955925,0,4
1718106960926,2,4
1718106965928,3,4
1718106970930,3,3
1718106975931,3,4
1718106980932,2,5
1718106985933,0,4
1718106990934,0,2
1718106995935,2,4
1718107000936,1,4
1718107005936,2,5
1718107010937,1,2
1718107015938,1,4
1718107020939,0,5
1718107025940,1,5
1718107030941,1,3
1718107035942,4,3
1718107040943,1,4
1718107045943,1,5
1718107050944,0,3
1718107055945,3,2
1718107060945,1,3
1718107065946,1,3
1718107070947,1,3
1718107075947,2,3
1718107080948,0,3
1718107085948,3,5
1718107090951,2,6
1718107095952,1,4
1718107100952,4,2
1718107105954,3,4
1718107110954,4,2
1718107115956,0,4
1718107120957,1,5
1718107125957,1,4
1718107130958,1,3
1718107135959,2,3
1718107140960,1,4
1718107145960,2,3
1718107150961,2,3
1718107155962,4,3
1718107160962,1,5
1718107165962,2,5
1718107170963,4,6
1718107175964,4,3
1718107180965,2,4
1718107185966,2,1
1718107190966,2,4
1718107195967,2,2
1718107200968,2,6
1718107205969,1,1
1718107210969,5,5
1718107215970,1,4
1718107220970,1,3
1718107225971,2,4
1718107230973,3,3
1718107235974,2,4
1718107240974,3,3
1718107245974,2,3
1718107250976,3,3
1718107255976,2,3
1718107260976,4,5
1718107265977,4,4
